Time,AirTemp,Rainfall,TrackTemp,WindSpeed,rID
15.703,23.2,False,42.9,0.9,908
1816.06,23.8,False,43.8,1.1,908
3616.518,23.5,False,41.2,1.3,908
5416.992,23.2,False,39.1,1.7,908
7217.367,23.5,False,37.3,1.5,908
51.252,26.3,False,29.4,3.0,909
1971.705,26.0,False,29.3,2.5,909
3892.144,26.1,False,28.8,2.3,909
5812.602,26.4,False,28.1,2.8,909
7733.045,26.1,False,27.4,3.5,909
36.061,19.5,False,30.6,2.1,910
1896.493,19.4,False,29.0,2.2,910
3757.238,19.5,False,27.2,4.8,910
5618.232,19.2,False,25.6,2.9,910
7477.803,19.0,False,25.3,3.3,910
46.006,19.9,False,43.3,1.4,911
1966.455,20.0,False,41.6,1.0,911
3887.226,18.7,False,39.9,1.1,911
5807.871,19.6,False,37.4,1.4,911
7727.801,19.5,False,34.4,1.2,911
14.225,20.4,False,42.0,1.3,912
1994.669,19.8,False,41.8,1.4,912
3975.156,20.9,False,41.0,3.1,912
5955.595,20.3,False,39.5,2.2,912
60.401,22.6,False,35.2,0.6,913
2100.855,22.4,False,34.4,0.9,913
4141.354,23.2,True,33.2,1.5,913
6181.822,22.7,True,31.0,0.9,913
8222.295,23.6,False,30.8,2.2,913
10.928,28.3,False,51.7,0.6,914
1871.338,28.3,False,51.6,0.6,914
3731.754,29.6,False,51.3,1.4,914
5592.604,30.0,False,51.0,1.7,914
7453.772,30.7,False,50.2,1.2,914
18.35,25.8,False,51.9,2.8,915
1818.798,26.3,False,54.5,1.5,915
3619.152,27.4,False,55.4,1.1,915
5419.695,27.6,False,54.7,1.3,915
7220.017,26.5,False,53.5,1.9,915
10.793,33.3,False,51.4,1.8,916
1751.217,33.9,False,51.8,1.1,916
3491.61,34.9,False,50.5,1.3,916
5232.018,35.0,False,50.2,1.5,916
6972.442,34.1,False,49.0,1.1,916
23.081,17.9,False,27.8,1.3,917
1763.474,18.3,False,30.5,2.2,917
3503.868,19.3,False,34.2,2.0,917
5244.292,19.6,False,30.2,2.7,917
6984.654,18.8,False,27.9,2.9,917
38.119,21.0,True,26.4,0.8,918
2198.582,21.2,True,26.4,0.4,918
4359.089,21.4,True,26.3,0.5,918
6519.582,21.6,True,26.9,1.0,918
8680.073,21.8,False,26.6,1.2,918
31.224,25.1,False,43.0,2.1,919
1951.657,25.7,False,44.5,1.9,919
3872.192,25.3,False,45.1,1.1,919
5792.523,26.1,False,44.0,0.9,919
7712.955,25.8,False,42.7,1.2,919
29.362,16.8,False,27.1,1.9,920
1829.821,17.0,False,26.4,2.1,920
3630.175,17.2,False,28.4,2.8,920
5430.58,17.4,False,28.4,2.5,920
33.113,19.7,False,32.8,0.0,921
1653.469,20.4,False,32.5,0.5,921
3273.841,21.3,False,31.6,2.1,921
4894.213,21.9,False,33.9,1.9,921
6514.569,22.0,False,32.5,2.8,921
11.591,30.0,False,37.3,2.9,922
2291.617,30.2,False,36.6,2.4,922
4571.691,30.1,False,35.8,2.0,922
6852.03,29.9,False,35.0,2.6,922
9132.167,29.7,False,34.3,1.4,922
32.569,22.0,False,33.9,3.2,923
1952.442,21.8,False,35.1,2.8,923
3872.643,22.9,False,34.9,2.6,923
5792.605,21.6,False,33.2,2.2,923
7712.762,22.7,False,33.5,1.3,923
35.399,21.9,False,39.5,5.3,924
1895.515,22.0,False,35.5,5.6,924
3755.591,21.7,False,31.0,6.1,924
5615.681,21.4,False,28.9,7.9,924
33.078,22.4,False,43.4,1.5,925
2013.827,22.6,False,41.0,3.1,925
3993.398,23.5,False,45.3,1.9,925
5973.202,23.1,False,39.8,1.1,925
24.279,20.8,False,30.9,0.5,926
1944.311,20.7,False,28.6,3.2,926
3864.448,21.7,False,29.3,2.3,926
5784.555,22.0,False,29.0,1.2,926
7704.811,22.0,False,28.6,1.2,926
58.1,21.2,False,48.2,1.3,927
1978.356,20.6,False,48.4,1.6,927
3898.356,21.5,False,46.8,1.4,927
5818.52,21.2,False,46.9,0.8,927
7738.734,20.4,False,38.5,1.2,927
46.396,27.6,False,32.5,1.6,928
2026.427,26.4,False,30.7,1.4,928
4006.406,25.9,False,29.4,1.3,928
5986.537,25.4,False,27.8,1.3,928
