dID,cID,rID,startPos,finishPos
27,7,0,6,1
62,11,0,5,2
21,10,0,12,3
22,2,0,10,4
204,1,0,8,5
205,2,0,11,6
206,17,0,18,7
36,16,0,21,8
20,9,0,22,9
0,17,0,20,10
64,11,0,1,11
2,8,0,26,12
15,5,0,15,13
14,15,0,17,14
54,18,0,2,15
12,1,0,24,16
207,19,0,25,17
9,3,0,13,18
11,10,0,7,19
208,16,0,9,20
25,14,0,19,21
29,3,0,14,22
8,18,0,4,23
28,12,0,16,24
5,7,0,3,25
209,12,0,23,26
64,11,1,1,1
62,11,1,2,2
205,2,1,7,3
8,18,1,6,4
204,1,1,12,5
206,17,1,25,6
10,5,1,9,7
210,0,1,18,8
12,1,1,21,9
15,5,1,16,10
22,2,1,23,11
25,14,1,14,12
9,3,1,22,13
36,16,1,24,14
209,12,1,15,15
21,10,1,19,16
208,16,1,8,17
27,7,1,3,18
54,18,1,4,19
29,3,1,17,20
28,12,1,11,21
20,9,1,10,22
5,7,1,5,23
11,10,1,13,24
2,8,1,20,25
13,8,1,26,26
64,11,2,1,1
62,11,2,2,2
29,3,2,8,3
10,5,2,9,4
0,17,2,12,5
9,3,2,4,6
12,1,2,20,7
205,2,2,15,8
206,17,2,23,9
8,18,2,3,10
11,10,2,22,11
3,9,2,21,12
15,5,2,10,13
22,2,2,24,14
54,18,2,7,15
209,12,2,26,16
210,0,2,13,17
35,4,2,25,18
2,8,2,17,19
21,10,2,14,20
208,16,2,19,21
27,7,2,5,22
211,4,2,18,23
20,9,2,16,24
28,12,2,11,25
204,1,2,6,26
64,11,3,1,1
54,18,3,5,2
0,17,3,7,3
205,2,3,13,4
62,11,3,2,5
210,0,3,17,6
12,1,3,24,7
20,9,3,11,8
9,3,3,20,9
29,3,3,9,10
208,16,3,26,11
14,15,3,23,12
10,5,3,19,13
3,9,3,25,14
22,2,3,18,15
28,12,3,22,16
27,7,3,3,17
204,1,3,10,18
36,16,3,15,19
2,8,3,16,20
15,5,3,12,21
5,7,3,6,22
24,13,3,21,23
8,18,3,8,24
206,17,3,14,25
11,10,3,4,26
62,11,4,2,1
54,18,4,14,2
12,1,4,17,3
14,15,4,26,4
22,2,4,25,5
8,18,4,16,6
210,0,4,24,7
15,5,4,13,8
206,17,4,21,9
5,7,4,8,10
10,5,4,6,11
208,16,4,22,12
24,13,4,19,13
209,12,4,20,14
