dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
33,1.0,104.815,1.0,,,18
33,33.0,84.863,1.0,6572.659,,18
33,34.0,98.828,2.0,,6594.579,18
33,71.0,80.502,1.0,,,18
44,1.0,106.593,2.0,,,18
44,29.0,85.054,3.0,6256.484,,18
44,30.0,101.412,4.0,,6278.83,18
44,71.0,80.772,2.0,,,18
11,1.0,107.61,3.0,,,18
11,40.0,84.496,2.0,7153.877,,18
11,41.0,99.305,3.0,,7175.898,18
11,71.0,81.15,3.0,,,18
10,1.0,109.377,4.0,,,18
10,31.0,85.268,4.0,6439.113,,18
10,32.0,100.943,6.0,,6461.646,18
10,71.0,81.487,4.0,,,18
16,1.0,110.713,5.0,,,18
16,30.0,85.742,6.0,6360.648,,18
16,31.0,100.475,9.0,,6382.71,18
16,71.0,82.44,5.0,,,18
55,1.0,114.373,7.0,,,18
55,42.0,85.413,4.0,7344.966,,18
55,43.0,99.931,6.0,,7367.095,18
5,1.0,115.91,8.0,,,18
5,33.0,85.315,6.0,6621.298,,18
5,34.0,99.725,9.0,,6643.888,18
7,1.0,120.645,10.0,,,18
7,32.0,85.099,7.0,6541.748,,18
7,33.0,100.054,10.0,,6564.164,18
14,1.0,124.519,12.0,,,18
14,39.0,85.985,7.0,7122.609,,18
14,40.0,101.483,10.0,,7146.588,18
4,1.0,129.119,15.0,,,18
4,44.0,85.402,8.0,7537.775,,18
4,45.0,100.837,10.0,,7560.288,18
99,1.0,113.07,6.0,,,18
99,16.0,86.592,8.0,5219.425,,18
99,17.0,102.892,13.0,,5241.622,18
3,1.0,129.523,16.0,3850.599,,18
3,2.0,140.003,18.0,,3888.7,18
3,38.0,86.489,12.0,7066.542,,18
3,39.0,101.381,13.0,,7089.418,18
31,1.0,127.654,14.0,,,18
31,14.0,86.493,13.0,5069.303,,18
31,15.0,101.323,15.0,,5092.695,18
18,1.0,130.437,17.0,,,18
18,12.0,87.984,17.0,4904.888,,18
18,13.0,103.275,17.0,,4928.502,18
18,34.0,86.932,16.0,6756.338,,18
18,35.0,104.581,17.0,,6782.713,18
77,1.0,134.035,18.0,3855.038,,18
77,2.0,133.728,17.0,,3877.516,18
77,40.0,84.441,11.0,7229.854,,18
77,41.0,112.388,15.0,,7261.531,18
77,63.0,83.135,13.0,9136.382,,18
77,64.0,102.702,14.0,,9159.079,18
77,67.0,87.069,15.0,9485.927,,18
77,68.0,109.327,16.0,,9512.377,18
63,1.0,118.711,9.0,,,18
63,15.0,88.101,12.0,5150.961,,18
63,16.0,101.093,14.0,,5172.948,18
6,1.0,125.882,13.0,,,18
6,11.0,89.274,18.0,4821.888,,18
6,12.0,102.777,18.0,,4845.393,18
6,49.0,86.713,17.0,8038.587,,18
6,50.0,101.487,17.0,,8061.308,18
9,1.0,122.852,11.0,,,18
9,13.0,88.452,16.0,4990.1,,18
9,14.0,107.051,18.0,,5015.162,18
9,58.0,88.202,18.0,8841.608,,18
9,59.0,104.484,18.0,,8865.242,18
