dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
44,1.0,109.826,7.0,,,15
44,26.0,105.751,4.0,6411.444,,15
44,27.0,119.008,9.0,,6441.377,15
44,49.0,116.879,2.0,8730.666,,15
44,50.0,126.316,2.0,,8760.701,15
44,53.0,111.465,1.0,,,15
33,1.0,114.968,17.0,,,15
33,26.0,105.393,6.0,6417.48,,15
33,27.0,119.772,12.0,,6446.952,15
33,48.0,123.08,6.0,8670.622,,15
33,49.0,127.65,7.0,,8701.605,15
33,53.0,112.291,2.0,,,15
55,1.0,102.997,1.0,,,15
55,14.0,108.223,3.0,5192.474,,15
55,15.0,121.968,13.0,,5223.126,15
55,48.0,132.87,7.0,8672.414,,15
55,49.0,130.409,8.0,,8703.078,15
55,53.0,113.486,3.0,,,15
3,1.0,108.221,5.0,,,15
3,22.0,106.2,6.0,6009.519,,15
3,23.0,125.09,14.0,,6043.117,15
3,48.0,130.096,8.0,8674.429,,15
3,49.0,132.503,9.0,,8705.379,15
3,53.0,112.46,4.0,,,15
77,1.0,114.016,15.0,,,15
77,28.0,105.623,10.0,6634.25,,15
77,29.0,118.45,16.0,,6664.085,15
77,47.0,116.105,14.0,8576.758,,15
77,48.0,127.04,13.0,,8606.231,15
77,53.0,110.305,5.0,,,15
14,1.0,109.347,6.0,,,15
14,36.0,105.367,4.0,7418.668,,15
14,37.0,120.677,7.0,,7449.041,15
14,50.0,139.378,5.0,8913.493,,15
14,51.0,138.546,7.0,,8944.073,15
14,53.0,112.439,6.0,,,15
4,1.0,104.272,2.0,,,15
4,28.0,105.622,1.0,6602.153,,15
4,29.0,119.439,4.0,,6631.958,15
4,52.0,136.377,8.0,,9064.154,15
4,53.0,112.417,7.0,,,15
7,1.0,111.778,10.0,,,15
7,15.0,106.725,10.0,5307.346,,15
7,16.0,122.624,16.0,,5337.692,15
7,47.0,118.451,15.0,8578.015,,15
7,48.0,130.407,15.0,,8608.403,15
7,53.0,114.599,8.0,,,15
11,1.0,110.617,8.0,,,15
11,36.0,105.808,1.0,7410.837,,15
11,37.0,125.912,5.0,,7446.795,15
11,50.0,142.334,7.0,8915.393,,15
11,51.0,139.167,9.0,,8947.706,15
11,53.0,113.126,9.0,,,15
63,1.0,106.318,3.0,,,15
63,13.0,106.855,6.0,5093.562,,15
63,14.0,122.549,15.0,,5124.476,15
63,47.0,118.652,13.0,8575.402,,15
63,48.0,132.545,14.0,,8607.369,15
63,53.0,117.1,10.0,,,15
18,1.0,107.279,4.0,,,15
18,12.0,106.628,7.0,4992.095,,15
18,13.0,121.392,15.0,,5022.452,15
18,48.0,135.262,12.0,8700.056,,15
18,49.0,146.082,16.0,,8742.829,15
18,53.0,111.443,11.0,,,15
5,1.0,112.276,11.0,,,15
5,26.0,105.825,10.0,6427.782,,15
5,27.0,119.82,16.0,,6457.02,15
5,51.0,135.571,12.0,,8981.676,15
10,1.0,113.699,14.0,,,15
10,33.0,105.981,10.0,7139.5,,15
10,34.0,119.518,16.0,,7168.712,15
10,51.0,133.506,14.0,,9020.005,15
31,1.0,111.098,9.0,,,15
31,15.0,106.731,8.0,5306.206,,15
31,16.0,121.779,15.0,,5335.876,15
31,51.0,135.361,15.0,,9030.191,15
16,1.0,112.66,12.0,,,15
16,35.0,106.626,5.0,7325.408,,15
16,36.0,123.068,13.0,,7357.335,15
16,52.0,141.156,15.0,,9142.626,15
99,1.0,116.132,19.0,,,15
99,36.0,106.508,16.0,7465.695,,15
99,37.0,121.557,18.0,,7496.016,15
99,51.0,144.163,16.0,,9047.594,15
22,1.0,116.581,20.0,,,15
22,13.0,108.912,20.0,5127.486,,15
22,14.0,122.484,20.0,,5157.5,15
22,47.0,136.543,18.0,8622.903,,15
22,48.0,143.412,17.0,,8653.766,15
22,49.0,144.845,17.0,8910.473,,15
22,50.0,147.373,17.0,,8941.377,15
9,1.0,113.218,13.0,,,15
9,14.0,107.794,17.0,5227.829,,15
9,15.0,123.999,19.0,,5257.925,15
9,46.0,133.746,19.0,8583.933,,15
9,47.0,139.226,19.0,,8617.73,15
6,1.0,114.413,16.0,,,15
6,13.0,108.268,19.0,5125.5,,15
6,14.0,121.725,19.0,,5155.887,15
6,47.0,137.724,17.0,8615.309,,15
47,1.0,115.78,18.0,,,15
47,20.0,108.013,17.0,5854.643,,15
47,21.0,122.492,20.0,,5884.726,15
47,32.0,107.201,20.0,7096.189,,15
