dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
33,1.0,106.339,2.0,,,7
33,18.0,118.099,3.0,3791.373,,7
33,19.0,99.966,3.0,,3821.059,7
33,32.0,116.764,4.0,5181.189,,7
33,33.0,100.458,4.0,,5211.35,7
33,53.0,97.143,1.0,,,7
44,1.0,104.859,1.0,,,7
44,19.0,118.684,2.0,3887.421,,7
44,20.0,101.873,3.0,,3917.562,7
44,53.0,99.041,2.0,,,7
11,1.0,108.257,4.0,,,7
11,24.0,118.41,4.0,4395.208,,7
11,25.0,101.545,4.0,,4424.939,7
11,53.0,96.693,3.0,,,7
77,1.0,106.833,3.0,,,7
77,17.0,119.129,4.0,3695.047,,7
77,18.0,100.235,4.0,,3725.528,7
77,53.0,97.86,4.0,,,7
4,1.0,111.536,10.0,,,7
4,24.0,120.36,13.0,4424.961,,7
4,25.0,103.254,14.0,,4455.58,7
4,53.0,97.459,5.0,,,7
3,1.0,111.35,9.0,,,7
3,16.0,120.026,16.0,3621.704,,7
3,17.0,102.037,16.0,,3651.653,7
3,53.0,99.216,6.0,,,7
10,1.0,110.025,6.0,,,7
10,17.0,121.423,15.0,3722.358,,7
10,18.0,101.971,14.0,,3753.015,7
10,53.0,99.189,7.0,,,7
14,1.0,110.69,8.0,,,7
14,18.0,121.622,15.0,3830.287,,7
14,19.0,101.935,15.0,,3861.483,7
14,53.0,99.455,8.0,,,7
5,1.0,112.847,12.0,,,7
5,37.0,119.971,11.0,5730.164,,7
5,38.0,102.044,10.0,,5761.475,7
5,53.0,97.647,9.0,,,7
18,1.0,115.002,16.0,,,7
18,34.0,120.727,13.0,5438.35,,7
18,35.0,102.25,14.0,,5469.374,7
18,53.0,99.078,10.0,,,7
55,1.0,108.811,5.0,,,7
55,17.0,120.88,13.0,3720.621,,7
55,18.0,102.99,13.0,,3751.08,7
55,53.0,100.926,11.0,,,7
63,1.0,115.42,17.0,,,7
63,17.0,120.045,19.0,3737.921,,7
63,18.0,101.947,18.0,,3768.362,7
22,1.0,115.798,18.0,,2012.588,7
22,15.0,121.362,19.0,3532.502,,7
22,16.0,104.511,19.0,,3562.562,7
31,1.0,112.392,11.0,,,7
31,28.0,120.943,16.0,4847.614,,7
31,29.0,103.459,17.0,,4877.693,7
99,1.0,113.165,13.0,,,7
99,28.0,121.408,18.0,4848.73,,7
99,29.0,103.02,18.0,,4879.151,7
16,1.0,110.607,7.0,,,7
16,14.0,122.349,18.0,3420.271,,7
16,15.0,102.242,17.0,,3451.04,7
16,38.0,119.965,16.0,5849.388,,7
16,39.0,101.981,16.0,,5881.09,7
7,1.0,113.586,14.0,,,7
7,33.0,122.988,18.0,5359.15,,7
7,34.0,100.906,18.0,,5390.357,7
6,1.0,114.228,15.0,,,7
6,18.0,120.899,19.0,3842.09,,7
6,19.0,102.723,19.0,,3871.99,7
47,1.0,116.462,19.0,,,7
47,15.0,123.242,20.0,3551.648,,7
47,16.0,105.277,20.0,,3581.574,7
9,1.0,117.026,20.0,,,7
9,31.0,121.696,20.0,5178.026,,7
9,32.0,106.71,20.0,,5209.004,7
