dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
33,1.0,102.612,2.0,,,17
33,10.0,101.71,2.0,4775.398,,17
33,11.0,118.851,4.0,,4799.114,17
33,29.0,101.165,1.0,6718.67,,17
33,30.0,119.712,2.0,,6742.643,17
33,56.0,99.668,1.0,,,17
44,1.0,101.458,1.0,,,17
44,13.0,102.177,1.0,5080.521,,17
44,14.0,121.383,2.0,,5105.009,17
44,37.0,101.436,1.0,7529.074,,17
44,38.0,120.017,2.0,,7552.679,17
44,56.0,100.122,2.0,,,17
11,1.0,104.121,3.0,,,17
11,12.0,103.229,2.0,4984.776,,17
11,13.0,121.373,3.0,,5009.777,17
11,30.0,104.262,3.0,6841.037,,17
11,31.0,120.031,4.0,,6864.644,17
11,56.0,101.338,3.0,,,17
16,1.0,105.695,4.0,,,17
16,12.0,102.831,3.0,4995.131,,17
16,13.0,120.732,4.0,,5019.242,17
16,32.0,102.603,3.0,7052.817,,17
16,33.0,119.567,4.0,,7076.628,17
16,56.0,103.442,4.0,,,17
3,1.0,106.819,5.0,,,17
3,11.0,103.576,5.0,4896.751,,17
3,12.0,121.477,7.0,,4920.962,17
3,30.0,101.874,5.0,6862.658,,17
3,31.0,121.159,6.0,,6886.761,17
3,56.0,102.001,5.0,,,17
77,1.0,109.072,9.0,,,17
77,15.0,102.902,5.0,5322.869,,17
77,16.0,122.707,11.0,,5347.41,17
77,34.0,101.145,5.0,7275.926,,17
77,35.0,120.983,7.0,,7299.558,17
77,56.0,100.805,6.0,,,17
55,1.0,107.574,6.0,,,17
55,11.0,102.767,6.0,4900.071,,17
55,12.0,120.995,8.0,,4923.454,17
55,29.0,102.079,6.0,6762.612,,17
55,30.0,123.446,8.0,,6789.492,17
55,56.0,102.45,7.0,,,17
4,1.0,108.365,7.0,,,17
4,10.0,103.368,7.0,4799.956,,17
4,11.0,120.686,11.0,,4824.358,17
4,30.0,103.499,6.0,6870.334,,17
4,31.0,123.844,8.0,,6895.86,17
4,56.0,102.3,8.0,,,17
22,1.0,108.808,8.0,,,17
22,9.0,104.391,8.0,4702.001,,17
22,10.0,122.899,14.0,,4725.889,17
22,32.0,104.153,9.0,7102.593,,17
22,33.0,124.229,11.0,,7126.047,17
5,1.0,112.788,15.0,,,17
5,17.0,104.163,8.0,5543.31,,17
5,18.0,123.827,15.0,,5568.324,17
5,38.0,103.198,9.0,7728.662,,17
5,39.0,122.366,13.0,,7752.538,17
99,1.0,110.44,11.0,,,17
99,8.0,104.455,11.0,4602.68,,17
99,9.0,122.202,16.0,,4626.675,17
99,26.0,104.481,12.0,6491.381,,17
99,27.0,130.997,15.0,,6514.871,17
18,1.0,114.903,18.0,,,17
18,18.0,106.355,10.0,5652.489,,17
18,19.0,122.242,15.0,,5676.307,17
18,34.0,104.675,12.0,7330.879,,17
18,35.0,120.077,14.0,,7354.352,17
7,1.0,111.046,12.0,,,17
7,12.0,103.712,6.0,5017.014,,17
7,13.0,122.425,15.0,,5041.195,17
7,31.0,103.887,10.0,7002.091,,17
7,32.0,122.846,12.0,,7026.153,17
63,1.0,112.586,14.0,,,17
63,9.0,105.12,13.0,4710.981,,17
63,10.0,120.961,17.0,,4734.518,17
63,31.0,106.447,13.0,7025.738,,17
63,32.0,122.344,15.0,,7052.056,17
6,1.0,115.415,19.0,,,17
6,5.0,105.267,18.0,4297.841,,17
6,6.0,130.949,19.0,,4330.407,17
6,25.0,105.229,16.0,6406.099,,17
6,26.0,129.179,17.0,,6429.748,17
47,1.0,114.422,17.0,,,17
47,11.0,105.93,14.0,4929.325,,17
47,12.0,124.635,19.0,,4953.614,17
47,34.0,104.943,16.0,7360.064,,17
47,35.0,122.135,18.0,,7384.289,17
9,1.0,115.428,20.0,3873.762,,17
9,2.0,131.965,20.0,,3904.462,17
9,24.0,107.399,19.0,6339.396,,17
9,25.0,126.636,19.0,,6364.007,17
9,37.0,107.875,19.0,7731.184,,17
9,38.0,123.594,19.0,,7755.357,17
14,1.0,113.468,16.0,,,17
14,7.0,104.494,15.0,4502.654,,17
14,8.0,120.655,17.0,,4526.287,17
14,28.0,102.779,11.0,6703.076,,17
14,29.0,120.282,14.0,,6726.604,17
14,39.0,101.448,11.0,7839.507,,17
14,40.0,119.279,14.0,,7862.808,17
14,49.0,105.442,13.0,8868.022,,17
31,1.0,111.703,13.0,,,17
31,3.0,105.117,13.0,4082.256,,17
31,4.0,139.657,20.0,,4123.006,17
31,25.0,106.417,17.0,6408.677,,17
31,26.0,132.872,18.0,,6432.651,17
31,40.0,125.186,18.0,8005.332,,17
10,1.0,109.796,10.0,,,17
10,10.0,103.462,8.0,4806.679,,17
10,11.0,122.604,13.0,,4834.926,17
10,14.0,149.128,20.0,5285.212,,17
